node_id,node_text_normalized,node_type,mention_count
N286,department of psychiatry,method,2
N287,hamilton depression scale,method,2
N288,mumol / l,drug,2
N289,cognition,physiology,2
N290,genomes,gene,2
N291,brain function,physiology,2
N292,cnv,signs,2
N293,15q11 . 2,gene,2
N294,bp1-bp2,gene,2
N295,longitudinal mediation analysis,method,2
N296,reviewers,Health_factors,2
N297,amygdala lbs,gene,2
N298,childhood,Health_factors,2
N299,icbt,method,2
N300,sf-12,method,2
N301,il-6,gene,2
N302,crp,gene,2
N303,covid-19 pandemic,Health_factors,2
N304,self-report,method,2
N305,body,region,2
N306,depression-like behavior,disease,2
N307,poststroke depression,disease,2
N308,pmdd,disease,2
N309,ppd,disease,2
N310,web of science,method,2
N311,prevention,method,2
N312,china-to-us immigrants,Health_factors,2
N313,culture-gene co-evolutionary theory,method,2
N314,education,Health_factors,2
N315,prospective cohort study,method,2
N316,adult,Health_factors,2
N317,probable depression,disease,2
N318,social unrest,Health_factors,2
N319,depression-like behaviors,disease,2
N320,stroke survivors,Health_factors,2
N321,social functioning,Health_factors,2
N322,birth,physiology,2
N323,effect sizes,method,2
N324,environmental risk factors,Health_factors,2
N325,environmental factors,Health_factors,2
N326,nightmares,disease,2
N327,chronic ptsd,disease,2
N328,caps,method,2
N329,distressing dreams,disease,2
N330,psqi,method,2
N331,sleep quality,Health_factors,2
N332,cgic,method,2
N333,adverse event,Health_factors,2
N334,trial,method,2
N335,cohorts,method,2
N336,scz,disease,2
N337,long-term depression,disease,2
N338,ltd,physiology,2
N339,hippocampus,region,2
N340,kcnh2,gene,2
N341,human brain,region,2
N342,phospholipase c,gene,2
N343,cortex,region,2
N344,ca2 + concentration,signs,2
N345,factor analysis,method,2
N346,family caregiving,Health_factors,2
N347,leisure activities,Health_factors,2
N348,exercise,Health_factors,2
N349,psychiatrists,Health_factors,2
N350,genetic factors,gene,2
N351,diagnostic criteria,method,2
N352,impairments,disease,2
N353,positive symptoms of schizophrenia,disease,2
N354,medline,method,2
N355,biosis,method,2
N356,psychological treatment,method,2
N357,standardized mean difference,method,2
N358,risk ratio,method,2
N359,mindfulness meditation,physiology,2
N360,mindfulness meditation,method,2
N361,executive functioning,physiology,2
N362,social skills,Health_factors,2
N363,neuroendocrine,physiology,2
N364,affective psychosis,disease,2
N365,post-partum period,Health_factors,2
N366,severe mental disorders,disease,2
N367,genome-wide analysis,method,2
N368,neurodevelopmental disorders,disease,2
N369,cognitive impairment,disease,2
N370,ages,Health_factors,2
N371,anxiety severity,signs,2
N372,impairment,disease,2
N373,pediatric anxiety rating scale,method,2
N374,deep brain stimulation,method,2
N375,nac,region,2
N376,anxiolytic action,physiology,2
N377,benzodiazepines,drug,2
N378,diazepam,drug,2
N379,limbic system,region,2
N380,perinatal mental disorders,disease,2
N381,offspring outcomes,Health_factors,2
N382,adolescence,Health_factors,2
N383,parents,Health_factors,2
N384,erk signaling,physiology,2
N385,physical health outcomes,Health_factors,2
N386,meta-review,method,2
N387,exercise interventions,method,2
N388,quetiapine,drug,2
N389,aripiprazole,drug,2
N390,triglycerides,drug,2
N391,cholesterol,drug,2
N392,population-based cohort study,method,2
N393,animal models,method,2
N394,hamd,method,2
N395,cerebellum,region,2
N396,treatment response,physiology,2
N397,cancer survivors,Health_factors,2
N398,quality of life,Health_factors,2
N399,adherence,Health_factors,2
N400,ors,method,2
N401,range,drug,2
N402,ethnicity,Health_factors,2
N403,adcyap1r1,gene,2
N404,snp,gene,2
N405,deep laminae,region,2
N406,died,disease,2
N407,recovery,Health_factors,2
N408,obesity,disease,2
N409,us counties,Health_factors,2
N410,type 2 diabetes mellitus,disease,2
N411,matched controls,method,2
N412,substance use disorder,disease,2
N413,lifetime substance use disorder,disease,2
N414,smrs,method,2
N415,alcohol,drug,2
N416,hard drugs,drug,2
N417,serum,region,2
N418,ubiquitin-proteasome system,region,2
N419,y-bocs,method,2
N420,gaf,method,2
N421,serious adverse events,Health_factors,2
N422,infections,disease,2
N423,evidence-based atlas,method,2
N424,systematic reviews,method,2
N425,maternal overweight,disease,2
N426,attention-deficit / hyperactivity disorder,disease,2
N427,imid,disease,2
N428,antidepressant medication,drug,2
N429,genetic association,physiology,2
N430,alleles,gene,2
N431,c4,gene,2
N432,web-based questionnaire,method,2
N433,clinical practice,method,2
N434,japanese physicians,Health_factors,2
N435,physician-patient consultation,method,2
N436,somatic symptoms,disease,2
N437,imipramine,drug,2
N438,maprotiline,drug,2
N439,mental health care,Health_factors,2
N440,primary care clinics,Health_factors,2
N441,primary care clinicians,Health_factors,2
N442,diet,Health_factors,2
N443,dietary patterns,Health_factors,2
N444,public health,Health_factors,2
N445,mindfulness-based relapse prevention,method,2
N446,cognitive-behavioral rp,method,2
N447,drug use,Health_factors,2
N448,serotonin,drug,2
N449,neurocircuitry,region,2
N450,basal ganglia,region,2
N451,cortico-striato-thalamo-cortical circuit,region,2
N452,orbitofrontal cortex,region,2
N453,polymorphisms,gene,2
N454,risk alleles,gene,2
N455,mitbamp,method,2
N456,k01626,gene,2
N457,neuroticism,symptom,2
N458,dmn,region,2
N459,chd,disease,2
N460,cannabis use disorder,disease,2
N461,polygenic scores,signs,2
N462,norwegian thematically organized psychosis cohort,method,2
N463,psychotic disorder,disease,2
N464,cardiovascular disease events,Health_factors,2
N465,neurodevelopmental disorder,disease,2
N466,elevated depressive symptoms,disease,2
N467,vasomotor symptoms,disease,2
N468,wlc,disease,2
N469,gbd,method,2
N470,eating disorders,disease,2
N471,gbd,disease,2
N472,guided parent-delivered cognitive behavioural therapy,method,2
N473,randomised controlled trial,method,2
N474,clinical outcomes,Health_factors,2
N475,parent-delivered cbt,method,2
N476,mean difference,method,2
N477,metabotropic glutamate receptor-dependent long-term depression,disease,2
